Genome	Species	Tool	Stage	Medium	MediumDefinition	EnvironmentalConditionDuringGapfill	SolverStatus	BiomassObjective	GrowthAbove1e-6	Interpretation
SGB_002	Nitrosomonas europaea	gapseq	Draft	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_002	Nitrosomonas europaea	gapseq	Draft	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_002	Nitrosomonas europaea	gapseq	Draft	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_002	Nitrosomonas europaea	gapseq	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_002	Nitrosomonas europaea	gapseq	Gap-filled	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0.903169864	true	constraint feasibility; not measured growth
SGB_002	Nitrosomonas europaea	gapseq	Gap-filled	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0.903169864	true	constraint feasibility; not measured growth
SGB_002	Nitrosomonas europaea	gapseq	Gap-filled	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_002	Nitrosomonas europaea	gapseq	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_002	Nitrosomonas europaea	CarveMe	Draft	Construction medium	CarveMe built-in LB	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_002	Nitrosomonas europaea	CarveMe	Draft	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_002	Nitrosomonas europaea	CarveMe	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_002	Nitrosomonas europaea	CarveMe	Gap-filled	Construction medium	CarveMe built-in LB	none	OPTIMAL	0.781177485	true	constraint feasibility; not measured growth
SGB_002	Nitrosomonas europaea	CarveMe	Gap-filled	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0.668206024	true	constraint feasibility; not measured growth
SGB_002	Nitrosomonas europaea	CarveMe	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_006	Shewanella baltica	gapseq	Draft	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_006	Shewanella baltica	gapseq	Draft	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_006	Shewanella baltica	gapseq	Draft	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_006	Shewanella baltica	gapseq	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_006	Shewanella baltica	gapseq	Gap-filled	Construction medium	gapseq ALLmed.csv; common permissive bacterial reconstruction proxy	none	OPTIMAL	1.73099561	true	constraint feasibility; not measured growth
SGB_006	Shewanella baltica	gapseq	Gap-filled	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	1.73099561	true	constraint feasibility; not measured growth
SGB_006	Shewanella baltica	gapseq	Gap-filled	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_006	Shewanella baltica	gapseq	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_006	Shewanella baltica	CarveMe	Draft	Construction medium	CarveMe built-in LB	none	OPTIMAL	2.98925339	true	constraint feasibility; not measured growth
SGB_006	Shewanella baltica	CarveMe	Draft	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0.532568486	true	constraint feasibility; not measured growth
SGB_006	Shewanella baltica	CarveMe	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_006	Shewanella baltica	CarveMe	Gap-filled	Construction medium	CarveMe built-in LB	none	OPTIMAL	2.98925339	true	constraint feasibility; not measured growth
SGB_006	Shewanella baltica	CarveMe	Gap-filled	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0.532568486	true	constraint feasibility; not measured growth
SGB_006	Shewanella baltica	CarveMe	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_008	Ignicoccus islandicus	gapseq	Draft	Construction medium	gapseq autotrophic.csv; autotrophic hyperthermophile proxy	highH2	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_008	Ignicoccus islandicus	gapseq	Draft	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_008	Ignicoccus islandicus	gapseq	Draft	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_008	Ignicoccus islandicus	gapseq	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_008	Ignicoccus islandicus	gapseq	Gap-filled	Construction medium	gapseq autotrophic.csv; autotrophic hyperthermophile proxy	highH2	OPTIMAL	0.402150741	true	constraint feasibility; not measured growth
SGB_008	Ignicoccus islandicus	gapseq	Gap-filled	Common rich proxy	gapseq ALLmed.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_008	Ignicoccus islandicus	gapseq	Gap-filled	Minimal proxy	gapseq MM_glu.csv	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_008	Ignicoccus islandicus	gapseq	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_008	Ignicoccus islandicus	CarveMe	Draft	Construction medium	CarveMe built-in LB	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_008	Ignicoccus islandicus	CarveMe	Draft	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_008	Ignicoccus islandicus	CarveMe	Draft	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_008	Ignicoccus islandicus	CarveMe	Gap-filled	Construction medium	CarveMe built-in LB	none	OPTIMAL	3.91426817	true	constraint feasibility; not measured growth
SGB_008	Ignicoccus islandicus	CarveMe	Gap-filled	Minimal proxy	CarveMe built-in M9	none	OPTIMAL	0	false	constraint feasibility; not measured growth
SGB_008	Ignicoccus islandicus	CarveMe	Gap-filled	No uptake audit	all exchange uptake disabled	none	OPTIMAL	0	false	positive biomass would flag a leak or energy-generating cycle
SGB_010	Methanocaldococcus jannaschii	gapseq	Draft	Construction medium	gapseq MM_anaerobic_CO2_H2.csv; official methanogen tutorial medium	highH2	OPTIMAL	0	false	constraint feasibility; not measured growth
