Branch	ANIThresholdPct	Cluster	Representative	Members	MemberGenomes	MemberSourceStages	RepresentativeSourceStage	RepresentativeSourceBranch	Completeness	Contamination	N50Bp	GenomeBp	MIMAGQuality	dRepScore
Species 95% ANI	95.0	1_1	vamb__025.fna	6	binette__026.fna;metabat2-mock1__026.fna;metabat2-multisample__012.fna;semibin2__023.fna;taxvamb__004.fna;vamb__025.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	VAMB-taxonomy-free	99.95	0.2	59244	2614762	Not re-audited for complete markers	101.38623758663358
Species 95% ANI	95.0	2_1	binette__012.fna	6	binette__012.fna;metabat2-mock1__019.fna;metabat2-multisample__008.fna;semibin2__029.fna;taxvamb__035.fna;vamb__022.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	100.0	0.04	47024	2643322	High quality	102.18598998436427
Species 95% ANI	95.0	3_1	binette__008.fna	6	binette__008.fna;metabat2-mock1__009.fna;metabat2-multisample__022.fna;semibin2__040.fna;taxvamb__012.fna;vamb__003.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	98.69	0.55	26973	2039351	Medium quality	98.20534422619248
Species 95% ANI	95.0	4_1	vamb__002.fna	6	binette__021.fna;metabat2-mock1__025.fna;metabat2-multisample__003.fna;semibin2__036.fna;taxvamb__007.fna;vamb__002.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	VAMB-taxonomy-free	100.0	0.05	48108	1906417	Not re-audited for complete markers	102.14092685114908
Species 95% ANI	95.0	5_1	binette__022.fna	6	binette__022.fna;metabat2-mock1__029.fna;metabat2-multisample__024.fna;semibin2__027.fna;taxvamb__002.fna;vamb__023.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	100.0	0.14	55634	2653984	Medium quality	101.72267014308811
Species 95% ANI	95.0	6_1	metabat2-multisample__018.fna	4	binette__014.fna;metabat2-mock1__004.fna;metabat2-multisample__018.fna;semibin2__003.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	MetaBAT2-multisample	99.55	6.95	6611	5210977	Not re-audited for complete markers	66.76003091191382
Species 95% ANI	95.0	7_1	binette__025.fna	6	binette__025.fna;metabat2-mock1__003.fna;metabat2-multisample__027.fna;semibin2__019.fna;taxvamb__033.fna;vamb__021.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	99.97	0.28	46222	6481038	Medium quality	100.95237736661407
Species 95% ANI	95.0	8_1	semibin2__018.fna	3	binette__019.fna;semibin2__018.fna;taxvamb__026.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	SemiBin2-self-supervised	59.51	0.0	3170	946551	Not re-audited for complete markers	61.31052963110887
Species 95% ANI	95.0	9_1	binette__015.fna	6	binette__015.fna;metabat2-mock1__033.fna;metabat2-multisample__005.fna;semibin2__015.fna;taxvamb__021.fna;vamb__010.fna	Article42-QC-pass;Article44-selected	Article44-selected	Binette selected set	78.95	0.29	4753	1083632	Medium quality	79.38848290714738
Species 95% ANI	95.0	10_1	semibin2__038.fna	5	binette__023.fna;metabat2-mock1__005.fna;metabat2-multisample__033.fna;semibin2__038.fna;taxvamb__034.fna	Article42-QC-pass;Article44-selected	Article42-QC-pass	SemiBin2-self-supervised	99.92	0.12	79303	1727858	Not re-audited for complete markers	101.81964480840534
