#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
vB_Eco_SLUR29|NC_054895.1	1	48466	98	48466	100	1.01032	255	46.1
PARMAL1|OQ376858.1	1	44565	90	44500	99.8541	1	255	46.5
vB_Eco_mar002J2|LR027385.1	1	50343	202	50343	100	2	255	3.22
HP1|NC_001697.1	1	32355	65	32355	100	1	255	47
vB_Vpa_sm033|OV032902.1	1	320253	641	320253	100	1	255	47
vB_Eco_mar003J3|LR027389.1	1	115471	231	115471	100	1	255	47
vB_EcoS_swan01|LT841304.1	1	50865	101	50365	99.017	0.99017	255	46.9
KUW1|OQ376857.1	1	44509	89	44500	99.9798	0.999798	255	47
DSS3_PM1|MN602267.1	1	70044	141	70000	99.9372	1	255	46.7
vB_Eco_mar005P1|LR027390.1	1	167773	336	167773	100	1	255	47
vB_VpaS_sm032|OV032860.1	1	79660	160	79660	100	1	255	47
phix174|NC_001422.1	1	5386	11	5386	100	1	255	47
S-RSM4|FM207411.1	1	194454	389	194454	100	1	255	47
CDMH1|NC_024144.1	1	54279	109	54279	100	1	255	47
vB_Eco_mar001J1|LR027388.1	1	50343	0	0	0	0	0	0
