CurrentGenomeLabel	RepositoryFileLabel	GenBankAssembly	ExpectedAbundancePct	ReferenceRecords	ReferenceBases	CompressedBytes	CompressedSHA256	TaxonomyRenameAlias
Acidilobus_saccharovorans_345-15	Acidilobus_saccharovorans_345-15	GCA_000144915.1	0.0341604652009	1	1496453	456211	8f0f40c2d3660b1c9d7dba88f39ebe5be7f25e16307c91b3261cd221f137df6c	no
Acidobacterium_capsulatum_ATCC_51196	Acidobacterium_capsulatum_ATCC_51196	GCA_000022565.1	0.199780321809	1	4127356	1258932	4a9ccecf391873cf876796b695b93bfc87f44d52b0d3489f79c54fe0c62a6d45	no
Aciduliprofundum_boonei_T469	Aciduliprofundum_boonei_T469	GCA_000025665.1	0.0342524180009	1	1486778	454891	5c56a1bb8b7d25ccfcc5fa4701652f3d5dffacbe6be23c9f0417539c51a1fa8a	no
Akkermansia_muciniphila_ATCC_BAA-835	Akkermansia_muciniphila_ATCC_BAA-835	GCA_000020225.1	0.907513578542	1	2664102	811624	fc0b915b42902bfee8843b4064610bde0c43cc6891842296911df3598ec6aaca	no
Archaeoglobus_fulgidus_DSM_4304	Archaeoglobus_fulgidus_DSM_4304	GCA_000008665.1	1.16826783762	1	2178400	667258	d43c3716fcf7b0a6ca64a492a1e7bc87a37c17e0780992e688d4cef59e2a13dd	no
Bacteroides_thetaiotaomicron_VPI-5482	Bacteroides_thetaiotaomicron_VPI-5482	GCA_000011065.1	0.323509814467	2	6293399	1935047	d4e886c57d6148df6d9b3410f15bbbe94979b5adafba7bec4d787e235cd51068	no
Bordetella_pertussis_RB50	Bordetella_bronchiseptica_RB50	GCA_000195675.1	0.476656463627	1	5339179	1583717	3affdfa7c73ec398513c7fe8e717b4b08016e703a7831324d8ceef1295a55d8c	yes
Caldicellulosiruptor_bescii_DSM_6725	Caldicellulosiruptor_bescii_DSM_6725	GCA_000022325.1	0.214992735487	3	2931662	880680	55bae1cb3fe41047aee2c39369a37f8a007650f41f96b464ad5016d7e36522ff	no
Caldicellulosiruptor_saccharolyticus_DSM_8903	Caldicellulosiruptor_saccharolyticus_DSM_8903	GCA_000016545.1	0.891081566244	1	2970275	895838	d1d9489282f48cda84b7df22ebcda4d469201fe1fd0c797794605ae101c8df91	no
Chlorobaculum_tepidum_TLS	Chlorobium_tepidum_TLS	GCA_000006985.1	0.243282052687	1	2154946	658161	a1bbcece9f91622ffd4e799d2b88c6d66a5560124569d321e398930da2e17623	yes
Chlorobium_limicola_DSM_245	Chlorobium_limicola_DSM_245	GCA_000020465.1	2.32098007977	1	2763181	838824	7bff393d79620bd32836bb68c28f0da1d69bd1864c38f38e80a065d700e676fe	no
Chlorobium_phaeobacteroides_DSM_266	Chlorobium_phaeobacteroides_DSM_266	GCA_000015125.1	0.690261801222	1	3133902	946278	3a433e4c62393123a7a2332d1240b5664eca2386461dc48a5b848c8c1faca255	no
Chlorobium_phaeovibrioides_DSM_265	Chlorobium_phaeovibrioides_DSM_265	GCA_000016085.1	1.29391754241	1	1966858	601247	909b26764138e750c84de6a0dc32ceb1d9e9f4ef64eea0b03d31f15b5a143f14	no
Chloroflexus_aurantiacus_J-10-fl	Chloroflexus_aurantiacus_J-10-fl	GCA_000018865.1	0.203265727015	1	5258541	1594830	84b6f1782c88fc25eaf3c118714ec72d040788c7b146c9ab791c0f1b6584af5a	no
Deinococcus_radiodurans_R1	Deinococcus_radiodurans_R1	GCA_000008565.1	0.619843795964	4	3284156	987536	88abdc940b345bc36023bd9fd810c4ce81af4ad88c7a0e4bc2604adca243da40	no
Desulfitobacterium_dehalogenans_ATCC_51507	Desulfitobacterium_dehalogenans_ATCC_51507	GCA_000243155.3	0.00353465924648	1	4321753	1331916	df7c9b34af1bf3acbf277c19abdf5ec8fd2cc68cc52fabdcf5810db70c6821e8	no
Desulfobulbus_oralis_sp._ONRL	Desulfobulbus_oralis_sp._ONRL	GCA_002952055.1	7.35004955226	1	2774417	837067	2505ad1f5aba3580cbeb645d07c51501c8a923b05eb1edf2a61d8380c3acc4f3	no
Desulfovibrio_mercurii_ND_132	Desulfovibrio_desulfuricans_ND132	GCA_000189295.2	0.0528821747006	1	3858580	1160610	6897bf84512ab9921b7e94933e437bafa64222b7b788fda36e410fc04506cc90	yes
Desulfovibrio_piger_ATCC_29098	Desulfovibrio_piger_ATCC_29098	GCA_000156375.1	4.3878528577	47	2867216	854115	7ece11c5253dc54537245de0f42237216d77557bd1b71f564bb6f4edd782a5c9	no
Dictyoglomus_turgidum_DSM_6724	Dictyoglomus_turgidum_DSM_6724	GCA_000021645.1	0.685764582516	1	1855560	557757	0236fe08d7d3d34f51d6d4eacc608cf427f112b0a02ad2a3492435c6d7fb934b	no
Enterococcus_faecalis_OG1RF	Enterococcus_faecalis_OG1RF	GCA_000172575.2	0.152304030441	1	2739625	837205	6ce91541a6f375260b6c97dbc1c0299a8b8a9e26f588461445f08de4f4e0d6f7	no
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	GCA_003019295.1	2.80887154653	1	2180101	636861	faa2106045ddf6b0bee12abb0ef94f8afe38539288ee3eaffb548e0462870d89	no
Gemmatimonas_aurantiaca_T-27	Gemmatimonas_aurantiaca_T-27	GCA_000010305.1	2.41490124842	1	4636964	1403898	c7283a4391a0fb0a72a0f7373b8cd72e2495316108f33596f890bc301840d8d7	no
Geobacter_bemidjiensis_Bem	Geobacter_bemidjiensis_Bem	GCA_000020725.1	0.00331230541102	1	4615150	1407895	5dee33110e8d85559d5d7551e4754ce29c841b21c26434af495d13e2a3bce2e2	no
Geobacter_sulfurreducens_PCA	Geobacter_sulfurreducens_PCA	GCA_000007985.2	0.587173172916	1	3814128	1162465	cd815c223dd269d867690f93d01e598f50efb96119ed65fdcd4010dd3ec39e54	no
Halobacterium_salinarum_NRC-1	Halobacterium_salinarum_NRC-1	GCA_000006805.1	2.53229319151	3	2571010	768945	9734d76a7e3a87a3e228332c69271b455bb80cd2d9904c2b9a5c566d0220976a	no
Haloferax_volcanii_DS2	Haloferax_volcanii_DS2	GCA_000025685.1	0.0482710050942	5	4012900	1194576	a8d58f79e2df7f892ed7adae2bab8ff0059e078a85f7dab1770deb09f233ec57	no
Herpetosiphon_aurantiacus_DSM_785	Herpetosiphon_aurantiacus_DSM_785	GCA_000018565.1	1.6502324032	3	6785430	2061599	8738f5977a767b5639195b5ac465f5461df377e7a5a95b08e7fd24cca861ba11	no
Hydrogenobaculum_sp._Y04AAS1	Hydrogenobaculum_sp._Y04AAS1	GCA_000020785.1	1.6318937727	1	1559514	470973	39237bf7f152901b87a495480f24e4538e8792c71855496b08e8dbc59af77e1b	no
Ignicoccus_hospitalis_KIN4_I	Ignicoccus_hospitalis_KIN4_I	GCA_000017945.1	2.83860327179	1	1297538	397098	f0687f5eb6a00a3e4601d41148139f8911bf47e7d47b5ebf9714ac07f10bfc37	no
Ignicoccus_islandicus_DSM_13165	Ignicoccus_islandicus_DSM_13165	GCA_001481685.1	1.09538937911	1	1394664	430091	b1fdc84768ba93ea90c16072ea3cc7aac985afadb655961126334a9d1011e5f1	no
Leptothrix_cholodnii_SP-6	Leptothrix_cholodnii_SP-6	GCA_000019785.1	0.049764838437	1	4909403	1433857	c87914d691798829aab036693b328e6f04fa16247f5ba9cd0ce620fb91a1f531	no
